id;cohort;gender;country;duration;family_jur;jud_vars_rules;jud_vars_gender;jud_vars_ideology;jud_vars_public;jud_vars_courts;jud_vars_polits;jud_vars_litig;ideo_lr;ideo_eu;ideo_bel;cogn_stud;cogn_pig;cogn_stock;dec_tort_prop;dec_tort_art3;dec_rob_f;dec_rob_m;dec_rob_fx;dec_ref_2m;dec_ref_reas;dec_car_ford;dec_car_audi;dec_fin_contr;dec_fin_effet;ecj_power;eu_inst_com;eu_inst_ep;eu_inst_cons;eu_inst_ecj;eu_inst_ecb
R_1gCwobJqzO6WsRe;fdd2020;M;Belgium;877;2;1;7;4;3;5;6;2;5;6;2;1;0;7000;2;NA;34;NA;NA;NA;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_245GlbrVkpZjHEd;fdd2020;F;Belgium;561;2;1;7;6;5;2;4;3;6;8;2;31;0;7000;1;NA;NA;NA;144;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_3CN7SXP6ns5tVtc;fdd2020;F;Belgium;720;2;1;4;2;5;7;3;6;3;9;3;29;10;7000;1;NA;NA;72;NA;2;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_yHD5iZO7wRu8sPD;fdd2020;F;Belgium;688;2;1;7;5;6;3;4;2;1;9;4;15;20;7000;1;NA;NA;46;NA;2;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_3nf0ghxVIx7FEiP;fdd2020;F;Belgium;865;1;7;3;4;2;5;1;6;5;7;NA;60;10;7000;2;NA;NA;60;NA;NA;2;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_8GNRlssWkWE4xUZ;fdd2020;F;Belgium;841;2;5;3;1;2;7;4;6;2;9;4;30;10;7000;1;NA;NA;NA;84;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_123hM1vqN2Nhqrb;fdd2020;M;Belgium;779;2;1;7;6;5;3;2;4;7;8;2;30;10;10000;1;NA;14;NA;NA;NA;3;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_2B8orEWqXUUQB8f;fdd2020;F;Belgium;899;2;7;4;5;2;6;1;3;8;6;1;15;20;7000;NA;2;42;NA;NA;NA;3;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_2c1rBBUYYrGwfPj;fdd2020;F;Belgium;751;2;7;2;NA;3;6;1;5;7;7;1;31;20;3000;1;NA;50;NA;NA;NA;2;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_AEsWpmfAoe0PT7X;fdd2020;M;Belgium;698;2;1;5;4;6;2;7;3;6;4;1;29;20;10000;NA;1;NA;12;NA;NA;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_3MRqajIWmxnez4K;fdd2020;F;Belgium;892;2;1;6;5;7;3;4;2;3;9;NA;30;20;2000;NA;1;60;NA;NA;2;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_2Ea9OPtP8NwNTA1;fdd2020;F;Belgium;678;2;1;7;6;2;3;5;4;2;10;3;15;0;7000;1;NA;NA;36;NA;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_3KvjfEi723uvPSC;fdd2020;F;Belgium;951;2;7;4;5;2;3;1;6;6;7;2;30;20;7000;1;NA;40;NA;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_sppPd5KjZiVzglz;fdd2020;M;Belgium;786;2;1;5;7;3;2;4;6;6;5;1;15;10;5000;NA;1;NA;48;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_VPApknB29XzRW4F;fdd2020;F;Belgium;777;2;1;7;6;4;2;5;3;3;8;3;29;20;1400;2;NA;NA;24;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_237e6CwF2EMDdfW;fdd2020;M;Belgium;1074;2;7;1;3;5;4;NA;6;5;10;NA;29;10;7000;NA;2;NA;NA;86;NA;2;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_2Sv2Fa8sKd59raF;fdd2020;F;Belgium;769;2;1;7;5;2;4;3;6;5;9;2;1;0;14000;NA;2;NA;24;NA;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_soM4mOrY6ibH5Ad;fdd2020;F;Belgium;952;2;1;5;4;7;2;6;3;5;7;NA;30;20;1400;1;NA;10;NA;NA;3;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_3j7KtTBgh1MyOL1;fdd2020;M;Belgium;841;2;1;7;4;6;2;3;5;5;10;7;29;20;7000;2;NA;NA;NA;42;2;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_2OHAQsSRf6DkH0C;fdd2020;F;Belgium;922;2;2;6;4;7;1;5;3;3;7;7;30;10;7000;NA;2;48;NA;NA;1;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_1rIa1731AWTGkgm;fdd2020;M;Belgium;740;2;1;7;4;5;3;6;2;5;5;7;29;20;7000;NA;2;24;NA;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_3npaImMOLjYiTRi;fdd2020;F;Belgium;836;1;1;7;6;5;3;2;4;8;7;1;29;20;7000;NA;2;NA;8;NA;NA;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_3JaxV5pRCLTtp0e;fdd2020;F;Belgium;1097;1;7;2;1;4;6;3;5;6;5;1;31;10;0;2;NA;NA;NA;60;2;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_3exmblTrNDwCz6E;fdd2020;F;Belgium;780;2;1;6;3;5;4;7;2;6;10;1;29;20;7000;NA;1;12;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_2cbVoymN82cgaDh;fdd2020;M;Belgium;754;1;1;6;4;5;3;7;2;6;9;2;29;10;7000;2;NA;NA;NA;60;3;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_RWaLuO3ci4OIUAp;fdd2020;F;Belgium;938;2;1;7;6;5;3;4;2;6;8;2;29;10;5700;2;NA;NA;12;NA;3;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_yx3L2keOERq3RE5;fdd2020;M;Belgium;867;2;1;7;4;6;2;5;3;8;5;1;29;20;7000;NA;1;NA;NA;60;3;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_0MKZfAU3yjCGYMN;fdd2020;M;Belgium;956;2;1;4;6;7;3;5;2;6;7;7;30;10;7000;NA;2;NA;NA;84;NA;3;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_2DSsaWBmRr82a5O;fdd2020;M;Belgium;960;2;1;7;6;4;2;5;3;4;7;7;29;20;7000;NA;1;NA;60;NA;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_20O6JlFZAgfmbDn;fdd2020;F;Belgium;861;2;1;7;2;4;3;5;6;3;3;8;NA;10;10000;NA;1;NA;NA;4;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2qwI8yQBiKY76Fa;fdd2020;F;Belgium;950;2;1;5;4;6;NA;2;3;6;4;2;30;90;0;NA;2;NA;NA;12;3;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_1IygmG9oQASsxOf;fdd2020;M;Belgium;1076;2;2;7;4;3;1;6;5;8;3;1;30;10;6000;NA;2;NA;NA;144;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_QhWUVxr8a5bhxIZ;fdd2020;F;Belgium;961;1;7;1;2;4;5;3;6;6;7;2;30;20;7000;NA;1;NA;48;NA;NA;3;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_3PFuyzgtcA9pafS;fdd2020;M;Belgium;1127;2;6;3;1;2;7;5;4;6;5;NA;30;20;10000;NA;1;NA;96;NA;3;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_4GhYCSk1ZZg7lxT;fdd2020;M;Belgium;851;2;1;6;5;4;2;7;3;0;3;4;29;20;7000;NA;1;NA;NA;24;2;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_1jrMDO1SEv8cNKA;fdd2020;F;Belgium;772;2;1;6;7;3;4;5;2;7;3;2;30;0;10000;NA;1;NA;NA;60;NA;3;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_uwfvOS0zEW5DfEJ;fdd2020;F;Belgium;942;2;1;5;6;4;2;7;3;6;7;NA;30;10;3000;NA;1;NA;NA;42;3;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_3KGxNOznPZxWBNP;fdd2020;M;Belgium;889;2;1;5;4;6;2;7;3;7;0;10;30;20;7000;NA;1;NA;60;NA;2;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_svVTqGyCIYVLEpH;fdd2020;F;Belgium;781;2;1;5;6;7;2;4;3;6;8;1;30;10;10000;NA;1;NA;NA;84;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_1IH3jjNEoKxEtPj;fdd2020;F;Belgium;1159;2;NA;NA;3;5;4;NA;2;7;7;2;31;20;0;NA;2;NA;36;NA;3;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_3DdM9vboqmgc5vs;fdd2020;M;Belgium;865;2;3;6;1;2;4;5;7;5;8;11;29;10;7000;NA;1;48;NA;NA;2;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_2s1M5KnkmbSqMjx;fdd2020;F;Belgium;880;1;1;7;6;5;2;3;4;6;6;7;15;10;7000;2;NA;NA;NA;14;NA;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2SAZ6t7yCEY8LVB;fdd2020;F;Belgium;1003;2;1;4;2;3;5;6;7;4;7;3;30;10;7000;NA;1;NA;NA;48;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_DHlVY0NhFTo7fRT;fdd2020;F;Belgium;863;2;7;1;4;2;5;3;6;2;8;3;30;20;7000;NA;1;NA;12;NA;2;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2ZBSt39Mvig9wkL;fdd2020;F;Belgium;870;1;1;6;4;5;3;7;2;5;7;2;33;20;7000;1;NA;NA;24;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_24fb4ptzpeMQPan;fdd2020;F;Belgium;964;2;1;6;4;5;2;7;3;7;6;2;30;10;7000;1;NA;NA;NA;144;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_2VmO97aRLV7wxSY;fdd2020;F;Belgium;1074;2;1;7;3;4;2;5;6;3;7;3;30;10;7000;NA;1;24;NA;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2Tt7LpsLX47ZQPZ;fdd2020;F;Belgium;1034;2;1;7;6;5;3;4;2;5;7;NA;29;10;7000;1;NA;8;NA;NA;2;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_3O6ypvJm7mFpMT6;fdd2020;F;Belgium;916;1;1;7;5;4;3;6;2;4;8;NA;29;0;14000;1;NA;NA;NA;60;NA;3;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
